CodEstablecimiento;nombreComercial;Direccion;ReferenciaDireccion;telefonoPrincipal;telefonoSecundario;CorreoElectronico;delivery;paginaWeb;CodProvincia;CodComercial;CodClasificacion;CodCategoria
14;GOLDEN BAMBOO FUSION ORIENTAL;AV. PEDRO MENENDEZ GILBERT 100, PUERTO SANTA ANA ED. RIVER FRONT 2, LOCAL 2;null;43069305;null;anie_law@hotmail.com;Si;null;09;0100;0028;039
15;STREET DOGS;ELIA LIUT Y CALLE VIEJA, C.C. MIRAFLORES;null;72834318;null;MYMCONSTRUCCIONESELECTRICA@GMAIL.COM;Si ;null;01;0100;0015;044
16;PEÑA NUESTRA AMERICA;PASACALLE S/N;null;72801656;null;null;No;null;01;0103;0030;039
17;DIANITA;QUITO S/N SIMÓN BOLIVAR;null;072770122;0991132246;hoteldianita@yahoo.es;No;null;14;0101;0017;011
18;PICHINCHA INTERNACIONAL;JUAN MONTALVO 9-78 GRAN COLOMBIA;A MEDIA CUADRA DE LA CLINICA BOLIVAR;072833695;0988960147;hostalpichincha971@hotmail.com;No;null;01;0101;0017;011
19;LEOS HOT DOG;AV.12 DE ABRIL Y UNIDAD NACIONAL;null;2880591;null;INGDIEGOCHACHA@HOTMAIL.COM;Si ;null;01;0100;0015;044
20;INCA REAL;GENERAL TORRES 8-40 SUCRE;A DOS CUADRAS DE LA IGLESIA EL CENACULO;072823636;0999851517;segundos43@hotmail.com;No;www.hotelincareal.com.ec;01;0101;0018;013
21;FOS;EL BATAN S/N AV 12 DE ABRIL;a tres cuadras de la universidad de cuenca;null;989388031;fabysaavedra@yahoo.com;Si;null;01;0100;0028;001
22;MARIA NATIVIDAD EVENTOS;CAMINO A RAYOLOMA;null;72879342;null;null;No;null;01;0103;0030;039
23;EL AMANECER;null;FRENTE A HOSTAL GOLD;62311047;998760082;matuamanecer@gmail.com;No;null;15;0100;0004;002
24;CENTRO DE RECREACIÓN TURÍSTICA FREDDY AYUY;BARRIO LAS PALMERAS, A DOS CUADRAS DE LA ESCUELA FISCAL;null;994757103;null;antonioayuy2012@gmail.com;No;null;14;0105;0032;039
25;DON FRANCISCO EL SABOR ORIGINAL;Imbabura N4-54 Y Mideros;A UNA CUADRA DEL C.C. HNO MIGUEL;22950363;984583856;juliaromanq@hotmail.com;Si ;null;17;0100;0028;040
26;DOÑA MENESTRA N 2;AV DEL ESTADIO Y JOSE PERALTA;null;72882306;null;donamenestra2012@hotmail.com;Si ;null;01;0100;0028;035
27;SABOR LATINO;TARQUI 9 30 Y BOLIVAR;null;2843546;null;null;Si;null;01;0100;0028;044
28;GUABOPAMBA;SANTA ISABEL SECTOR GUABOPAMBA;null;2270272;null;GINARIVERA_MEDINA1@HOTMAIL.COM;No;null;01;0101;0037;044
29;QUISQUEYA;PADRE AGUIRRE N.- 6-22;null;2844398;null;null;Si ;null;01;0100;0028;044
30;EUROPA;GASPAR SANGURIMA 2-55 TOMAS ORDOÑEZ;JUNTO AL BANCO DEL PACIFICO;074114438;0987501102;hoteleuropacuenca@gmail.com;No;null;01;0101;0018;012
31;GRAN MOLINA;AV SUCRE S-N LOS INCAS;ESQUINA;072255049;0992747116;tanifer12@hotmail.com;No;www.hotelmolinagualaceo.com;01;0101;0018;012
32;CALAMAR;GARCIA MORENO 6-50 Y GONZALES SUAREZ;null;2860862;null;null;Si ;null;01;0100;0028;044
33;MI CLASSIC DISCOTEC;CAÑARIS Y CLODOVEO CENTENO, ESQUINA;null;72257845;null;MERCEDESPB2016@HOTMAIL.COM;No;null;01;0100;0013;039
34;AZUAY;EL RAMAL;null;null;null;null;Si;null;01;0100;0028;044
35;CASA GRANDE ;TRATADO DE GIRON Y ESCUADRON CEDEÑO;null;null;null;null;No;null;01;0103;0029;039
36;TRUQUITO DEL SABOR EL;JUAN JARAMILLO 8-39 Y BENIGNO MALO;null;null;null;null;Si ;null;01;0100;0007;020
37;GOLOSINAS DE BETTY;CDLA. LA SAIBA MZ. Q VILLA 26;null;2444166;null;null;Si ;null;09;0100;0015;044
38; FRESAW;Av. Alberto Zambrano s/d Calle F; Frente al Terminal Terrestre de Puyo ;0982655038;032883963;chiquita410@hotmail.com;No;null;16;0101;0017;011
39;CAFÉ PUMAPUNGO;CALLE LARGA 1-164 Y JESUS DE ARRIEGA;null;2850929;null;ROSARIOTOROMORENOTAPIA@YAHOO.COM;Si;null;01;0100;0028;020
40;LUMINARIAS TURI;TURI S/N (SECTOR IGUESIA);null;72883403;null;null;Si ;null;01;0100;0028;039
41;ROSA VICTORIA;AV. CIRCUNVALACION SECTOR EL ESTADIO;null;72257141;null;guncayreinoiso@hotmail.com;No;null;01;0103;0030;039
42;HELADERIA LOS ALPES;AV. GENERAL RUMUÑAHUI 255 Y SEXTA Y SEPTIMA TRANSVERSAL;null;2862045;null;null;Si ;null;17;0100;0015;035
43;ALPES LOS;AV. ILALO Y RIO PASTAZA;null;2862045;null;negrishf@hotmail.com;Si;null;17;0100;0015;039
44;HELADERÍA LOS ALPES;RÍO Pastaza  S/n y Av. IlalÓ;null;22862045;995689408;oficina@heladerialosalpes.com.ec;Si ;null;17;0100;0007;030
45;HELADERÍA LOS ALPES;Av.12 de Octubre  S/N  y Mariscal Foch;DIAGONAL CENTRO COMERCIAL 12 DE OCTUBRE;22568121;995689408;oficina@heladerialosalpes.com.ec;Si ;www.heladerialosalpes.com.ec;17;0100;0007;036
46;COMPLEJO TURISTICO EL REY DE AGUAS TERMALES;NARANJAL, RECINTO AGUAS CALIENTES S/N;null;4220654;null;ismael@troncal.net;No;null;09;0103;0011;039
47;PIEDRA DE AGUA;PASEO DE GUADALUPANA, SECTOR BAÑOS;null;2892496;null;null;No;null;01;0105;0032;035
48;HOSTAL CORONEL;Mariano Cueva 9-42 Bolivar; ingresar por la calle la La Mar ;0997254417;072838108;gerencia@hotelcoronel.ec;No;www.hotelcoronel.ec;01;0101;0017;013
49;HACIENDA SUIZA YOGURT Y PAN DE YUCA N 2;GONZALEZ SUAREZ S/N EMILIANO ZAPATA;CENTRO COMERCIAL MONAY SHOPPING;null;992950953;haciendasuiza@gmail.com;Si;null;01;0100;0007;003
50;HACIENDA SUIZA YOGURT Y PAN DE YUCA N 3;REMIGIO CRESPO S/N DE LA CRUZ;CENTRO COMERCIAL BATAN;null;992950953;haciendasuiza@gmail.com;Si ;null;01;0100;0007;003
51;BAMBU;AV. LOS FUNDADORES Y GARCIA MORENO;null;2899057;null;null;No;null;22;0101;0018;044
52;SELENA ANGELINA;BARRIO SUCRE, PARROQUIA BUENAVISTA;null;2941122;null;null;Si ;null;07;0100;0028;020
53;JUGOS FIGUEROA HEREDIA;IMBABURA N1-22 Y ROCAFUERTE;null;2286669;null;null;Si;null;17;0100;0015;044
54;JUGUERÍA FIGUEROA HEREDIA;Imbabura N1-22 y Rocafuerte;A UNA CUADRA DEL PATRONATO SAN JOSE;992764349;969073818;jugueriafigueroa@hotmail.com;Si ;null;17;0100;0028;040
55;LA CASA DE LA GOLOSINA;LAS HERRERIAS 2-10 AV 12  DE ABRIL;SECTROR LAS HERRERIAS;988199316;988199316;amma.sol-52@hotmail.com;Si ;null;01;0100;0007;003
56;RINCON DEL RIO;JUAN VINTIMILLA S/N SIN NOMBRE;DETRAS DEL MERCADO MUNICIPAL;072276593;0980427661;icaluvac@gmail.com;No;null;01;0101;0017;012
57;MORZUA;AMAZONAS SN 29 DE MAYO;ESQUINA, RINCÓN DEL VAGO;072702275;0999661025;omoralescalle.ec@hotmail.com;No;null;14;0101;0017;012
58;INES MARIA;GRAN COLOMBIA 12-64 JUAN MONTALVO;null;072848380;0991764737;hostalinesmaria@gmail.com;No;www.hostalinesmaria.com;01;0101;0017;013
59;SNOBIZ NO 2;MALL DEL RIO SHOPPIN CENTER;null;null;null;null;Si;null;01;0100;0015;035
60;PARADERO D TILAPIA;VIA MACAS - PUYO, KM 21;null;3049199;null;ayliscuri@hotmail.com;Si ;null;14;0100;0028;020
61;PLAZA CENTRAL;Primero de Mayo s/n Av. Hualtaco; Frente al Mercado Central. ;0991550735;072995467;gerencia@hotelplazacentral.com;No;null;07;0101;0018;012
62;HOTEL EL CONQUISTADOR;AUTOPISTA YAHUARCOCHA KM 9 CALLE PIÑAN; Junto al Muelle Bar Yahuacocha;0997341799;062580285;conquistadorlago@hotmail.com;No;null;10;0101;0018;013
63;CUADRA DE ROSITA LA ;CRISTOBAL COLON Y AV. 12 DE OCTUBRE;null;72816048;null;null;Si ;null;01;0100;0028;039
64;MOLINO HOSTEL;EL MOLINO 2-04 LOS BALCONES;A UNA CUADRA DE EDIFICIO MONTEVELLO;072842281;0984975944;molinohostel@gmail.com;No;www.elmolinohostel.com;01;0101;0017;011
65;SOLANO;CAMILO DESTUGE 1215 Y GUARANDA;null;2346011;null;null;No;null;09;0101;0017;039
66;AGUA Y BAMBOO;TRONCAL AMAZÓNICA S/N S/N; A 3 MINUTOS DEL PARQUE CENTRAL ;072751003;0981963460;hosteria_aguaybamboo@hotmail.com;No;null;14;0101;0037;013
67;LA COLMENA Y QUE;null;PARQUE CENTRAL;961902797;961902797;lacolmena@hotmail.com;Si;null;01;0100;0007;003
68;PACHACAMAC;VIA PRINCIPAL S/N S/N;A QUINIENTOS METROS DE LA GASOLINERA;072171620;0998653032;milperez74@hotmail.com;No;null;01;0101;0017;011
69;COMPLEJO TURISTICO EL PEÑON DE CUSAY;VIA A CUENCA S/N S/N;A DOSCIENTOS METROS DE LA GASOLINERA;072171515;0998653032;milperez74@hotmail.com;No;null;01;0101;0037;013
70;SERES;PRESIDENTE CORDOVA N°7-23 Y BORRERO;null;2838508;null;null;Si ;null;01;0100;0028;039
71;LA POSADA DEL QUIJOTE;MIGUEL DE CERVANTES S/N VIA A PICHANILLAS;EL PORTON SECTOR LENTAG, A SETESIENTOS METROS DEL PARQUE EXTREMO;072801606;0993224698;enrique_jerves@hotmail.com;No;null;01;0101;0037;013
72;JR. CAMARÓN;Av. 6 de Diciembre N21-19 y Jorge Washington;A MEDIA CUADRA DEL BANCO DEL PICHINCHA;22563978;939630036;fabilau87@yahoo.es;Si ;null;17;0100;0028;040
73;BALCON QUITEÑO NO.1;SANGURIMA 6-49;null;2831928;null;null;Si;null;01;0100;0028;039
74;HOSTERIA LUZCELINDA;VIA A CUENCA S/N S/N;A CIEN METROS DE LA COMPLEJO LA ANCONDA;072742118;0990350547;edbeke@gmail.com;No;www.hosterialuzcelinda.com;14;0101;0037;013
75;TOKIO;Julio SAenz S6-502 Calle F;(VIA ANTIGUA CONOCOTO);987671630;22602592;alexandrag.maldonado@gmail.com;No;null;17;0101;0017;011
76;TANQUEATE;PANAMERICANA SUR KM 8.5;null;72878222;null;null;Si ;null;01;0100;0015;044
77;PANTANAL EL ;LAS AMERICAS KM 1 VIA SANTA MARTHA ;null;null;null;null;No;null;16;0105;0032;039
78;CREMOLATO;AV DE LAS AMERICAS 6-178;null;null;null;null;Si ;null;01;0100;0015;039
79;FONTANA HELADERIA No 6;C.C. SAN LUIS SHOPPING - SAN RAFAEL;null;2090441;null;null;Si;null;17;0100;0015;035
80;FONTANA HELADERIA NO 2;AV. GENERAL ENRIQUEZ C.C.PLAZA DEL VALLE L.B-14;null;2869329;null;null;Si ;null;17;0100;0015;044
81;FONTANA HELADERIA (QUITUMBE);AV. QUITUMBE ÑAN Y AV. MORAN VALVERDE;null;null;null;null;Si ;null;17;0100;0015;035
82;FONTANA HELADERIA NO 5;C.C.EL RECREO LOCAL 16;null;2666225;null;null;Si;null;17;0100;0015;035
83;Y RESTAURANTE ..MANABI..;13 DE JUNIO S/N JULIAN ALVARADO;FRENTE A LA IGLESIA EVANGELICA;062319325;0623193250;hostal.manabi@hotmail.com;No;null;15;0101;0017;011
84;MOLINOS DEL BATAN LOS;AV.12 DE ABRIL Y EL BATAN;null;2811531;null;null;Si ;null;01;0100;0028;035
85;HOSTERIA ESTANCIA EL ANGEL;Recta Carmen de Bullcay S/N S/N;null;072171173;0998057614;nancy2016hea@gmail.com;No;www.estanciaelangel.com;01;0101;0037;013
86;RIONE;LUIS MORENO MORA ESQUINA EDUARDO MALO;null;074092085;0992762294;info@rionehotel.com;No;www.rionehotel.com;01;0101;0018;014
87;BRASA EL RINCON DEL BUEN SABOR LA;DAVILA CHICA Y VICENTE PEÑA;null;null;null;null;Si ;null;01;0100;0015;044
88;RANCHO GRANDE;EL QUINCHE, RICAURTE JUNTO AL COLEGIO DE LAS CATALINAS;null;4075116;null; chmontero@hotmail.com;No;www.ranchogrande.com.ec;01;0103;0030;039
89;QUINTA MERCEDES;AV. PUEBLO DE LOS QUITUS Y CALLE SIN NOMBRE, CHALLUABAMBA;null;2843197;null;info@hotelquijote.com;No;null;01;0103;0030;039
90;ESTANCIO BLANCA;SANGURIMA Y MANUEL VEGA;null;72843740;null;null;Si;null;01;0100;0028;039
91;LAS CABAÑAS;AV ORDOÑEZ LAZO KM 5 S/N S/N;SAYAUSI;4191304;999290515;rubengarcia@hotmail.com;Si ;null;01;0100;0028;001
92;PACHAMAMA LODGE;CALLE LARGA 2-38 MANUEL VEGA;FRENTE A LAS RUINAS ARQUEOLOGICAS DE TODOS SANTOS;072829465;0999760076;eduardobrito2007@hotmail.com;No;null;01;0101;0017;011
93;HOSTAL VILLA DEL ROSARIO;HONORATO VASQUEZ 5-25 MARIANO CUEVA; A CUADRA Y MEDIA DE LA IGLESIA DE LA MERCED, EN LA CALLE HONORATO VASQUEZ ;0992253778;072828585;dolorescelleri15@hotmail.com;No;null;01;0101;0017;012
94;DON GUEVARA;KM 21 VIA A MOLLETURO;null;4045243;null;guevara.12@hotmail.com;Si ;null;01;0100;0028;044
95;CISNE EL ;LEOPOLDO DAVILA Y AV. DE LAS AMERICAS;null;4093744;null;null;No;null;01;0103;0030;039
96;RINCON CUENCANO EL;SOASTI ENTRE CUENCA Y 5 DE AGOSTO;null;2704087;null;guada.loja@hotmail.com;Si;null;14;0100;0028;044
97;ASADERO RESTAURANT GALPON CRIOLLO;AV. La República S/N Guayas y 9 de de octubre; Frente a la cooperativa de taxis Turismo Sur. ;072511714;0992656463;crisjas@hotmail.com;Si ;www.galponcriollo.com;07;0100;0028;001
98;PALMAS LAS;VIA A GUARUMALES MENDEZ;null;985801706;null;ESTERLLIGUISUPA.VERDUGO@OUTLOOK.ES;Si ;null;01;0100;0028;020
99;CACTUS CAFÉ;GUAYANAY 1-26 PACHACAMAC;CIUDADELA ALVAREZ;74109058;980558329;bolivartmendoza@hotmail.com;Si;null;01;0100;0007;003
100;BUNGALOWS ;SUCRE 16-62 Y MIGUEL VELEZ;null;2828-438;null;null;No;null;01;0103;0030;039
101;CHOZA LA;TERMINAL TERRESTRE EL CHORRO Y SEBASTIAN DE BENALCAZAR;null;72861364;null;null;Si ;null;01;0100;0028;044
102;RESTAURANTE MI ESCONDITE;JULIA BERNAL 3-18 JAIME ROLDOS; PARROQUIA RICAURTE SECTOR CUATRO ESQUINAS ;072890228;0969198094;miesconditericaurte@hotmail.com;Si ;www.restaurantesmiescondite.com;01;0100;0028;001
103;NICE CREAM;TARQUI Y AMAZONAS;null;02704198;null;feijo.antonio.54@gmail.com;Si;null;14;0100;0015;044
104;MUU YOGURT N1;BENIGNO MALO Y JUAN JARAMILLO;null;845632;null;null;Si ;null;01;0100;0015;035
105;PECAN BISTRO THE;CDLA. LA GARZOTA, MZ. 29, SL. 12;null;2647540;null;null;Si ;null;09;0100;0028;039
106;LA ORQUIDEA LIMONENSE;AV. 12 DE DICIEMBRE S/N 5 DE JUNIO;null;072770301;0994286983;miriamsalazar22@hotmail.com;No;null;14;0101;0017;011
107;PAREDES;bartolome serrrano  1-17 simon bolivar ;null;072835674;0968221822;hostalparedes@hotmail.com;No;www.hostalparedes.com;01;0101;0017;011
108;HOSPEDAJE LOS CABALLEROS;SANTIAGO LAFEBRE 2264 FRANCISCO DE ORELLANA;A UNA CUADRA DEL PARQUE CENTRAL, VIA A MACAS;073911226;0992274217;feralvarez1955.edgar@gmail.com;No;null;14;0101;0017;011
109;MAXIS YOGURT;COLON 712 Y LEONIDAS PLAZA;null;null;null;null;Si;null;09;0100;0015;044
110;Q. PAPA FRENCH FRIES;AV. 12 DE ABRIL Y AV. LOJA;null;72455666;null;JCAZORLA@VINDELPO.COM;Si ;null;01;0100;0015;044
111;HOSTAL SAN DIEGO;AV. DE LAS AMERICAS 13-00 MARISCAL LAMAR;FRENTE AL SUPERMAXI;072837569;0995512501;dugalde30@gmail.com;No;null;01;0101;0017;012
112;MILETO;Eduardo Aspiazu (Avda 6ta) S/N Lupercio Bazan (Calle 23);null;042771125;0998552200;info@hotelmileto.com;No;www.hotelmileto.com;24;0101;0018;012
113;HOTEL LA CASONA VERGEL;MIGUEL CORDERO 2-124 ALFONSO CORDERO; Miguel Cordero 2-124 y Alfonso Cordero, esquina. Sector el estadio. A una cuadra del Supermaxi del Vergel ;0998831262;072888869;info@lacasonahotel.com.ec;No;www.lacasonahotel.com.ec;01;0101;0018;013
114;CASA DEL RIO;BAJA DEL PADRON 4-07 Y CALLE LARGA;null;2829659;null;null;No;null;01;0101;0017;039
115;SAGITARIO;AV. DE LAS AMERICAS Y 12 DE ABRIL;null;2880450;null;null;Si ;null;01;0100;0028;044
116;DON RAUL;AV. DE LAS AMERICAS Y AV. DON BOSCO;null;74072946;null;MONYCEDILLO@HOTMAIL.COM;Si;null;01;0100;0028;020
117;HOSTAL PRIMAVERA;Av. Ricardo Durán S-N Alfonso Carrión; A media cuadra de la entrada a la Hostería Durán y a media cuadra del PAI de Baños.-  ;0994977493;074047475;nicolesinchi1996@hotmail.com;No;null;01;0101;0017;011
118;HAMILTON;MIGUEL HEREDIA 3-07 VEGA MUÑOZ;A UNA CUADRA DEL PARQUE PLAZA DEL ARTE;593824243;0987146349;hotelhamiltoncuenca@hotmail.com;No;null;01;0101;0017;011
119;SHANTA.S RESTAURANT;AV. LOJA SN SN; JUNTO AY  HACIENDA ALIVINATUY  ;0959491012;0985385710;shantasbar@hotmail.com;Si ;null;11;0100;0028;001
120;VILLA SAN MARCOS;VEGA MUÑOZ 7-45 LUIS CORDERO; A DOS CUADRAS DE LA IGLESIA DE MARIA AUXILIADORA ;0992969040;072843111;villa.sanmarcos.hotel@hotmail.com;No;null;01;0101;0018;012
121;LAS VEGAS;MARISCAL FOCH E7-72 y DIEGO DE ALMAGRO;DIAGONAL AL CARAVANA;22553498;999238629;erikaperaltarobled@gmail.com;No;null;17;0100;0004;047
122;EL MONASTERIO;PRESIDENTE CORDOVA 6-45 BORRERO;CENTRO;0;992346900;reino763@hotmail.com;Si ;null;01;0100;0007;003
123;EL FOGON DE GIRON;LUCIANO VALLEJO S/N GARCIA MORENO;CENTRO DE GIRON;72275677;959826556;orlandosigua78@gmail.com;Si;null;01;0100;0028;001
124;ROYAL CLUB;AV. 10 DE AGOSTO Y A. CUEVA;null;72837297;null;null;No;null;01;0103;0030;039
125;LA CASA DE MARIO;PASAJE SOJOS 1-17 FRANCISCA SOJOS;FRENTE AL PARQUE DE LA CIUDADELA;072815621;0995910868;MGALVISF@HOTMAIL.COM;No;null;01;0101;0009;019
126;INTERNACIONAL;calle cuenca SN Garcia moreno;FRENTE A CNT;022780637;0999325250;hotelinternacional-rp@hotmail.com;No;www.hotelinternacionalgualaquiza.com;14;0101;0018;012
127;SOFIA PRINCIPAL;ESTEVEZ DE TORAL N.- 11-90 Y SANGURIMA;null;2841667;null;null;Si ;null;01;0100;0028;044
128;PALMEIRAS;AV. 29 Y CIRCUNVALACION Y AV. FLAVIO REYES;null;052627070;null;marienela.mero@hotmail.com;Si ;null;13;0100;0028;039
129;RINCON DE ESPAÑA;AV. ESPAÑA 17-97;null;2806586;null;null;Si;null;01;0100;0028;044
130;HOSTAL LA PAZ;AV ESPANA 502 BARCELONA; AV ESPAÑA JUNTO AL BANCO DEL GUAYAQUIL, DIAGONAL AL TERMINAL TERRESTRE ;0999501126;072865156;agustin.salazarroldan@gmail.com;No;null;01;0101;0017;011
131;HOTEL COLONIAL;GRAN COLOMBIA 10-13 PADRE AGUIRRE;FRENTE A LA IGLESIA SANTO DOMINGO;072841644;0984810685;hostalcolonialcuenca@gmail.com;No;www.hostalcolonial.com;01;0101;0018;012
132;HOSTAL CHONTA DORADA;PIO JARAMILLO ALVARADO S/N Y DIEGO DE VACA; EN EL CENTRO DE LA CIUDAD A UNA CUADRA DEL COLISEO DE DEPORTES ;0989124744;072606384;hotelchontadorada@hotmail.com;No;null;19;0101;0017;011
133;CASTILLO REAL EL;LAMAR 11-51;null;2818337;null;null;No;null;01;0103;0030;035
134;PRADERA LA ;VIA AL CAJAS SECTOR DOS CHORRERAS;null;72370299;null;null;Si ;null;01;0100;0028;020
135;RESTAURANTE EL ALCATRAZ;RICAURTE SECTOR 4 ESQUINAS;null;72890427;null;null;Si ;null;01;0100;0028;044
136;TOMEBAMBA;SIMÓN BOLÍVAR 11-19 GENERAL TORRES;A MEDIA CUADRA DE LA DIRECCION DE EDUCACION;072823797;0993545346;hoteltomebamba@hotmail.com;No;null;01;0101;0018;013
137;GENESIS;LAMAR 10-26;null;null;null;null;Si;null;01;0100;0028;044
138;GREEN SPOT;AV. ORDOÑEZ LASSO S/N JOSE RODRIGUEZ PARRA;SECTOR VIRGEN DEL MILAGRO, FRENTE A UNA LAVADORA DE AUTOS;074089394;0990852827;greenspot.ecuador@gmail.com;No;www.greenspotecuador.com;01;0101;0009;019
139;QUINTA CARMITA;SECTOR SAN MIGUEL SAYAUSI;null;4109415;null;silviamaricelar@yahoo.com;No;null;01;0103;0030;039
140;CINEMA CAFE;LUIS CORDERO 7-42 PRESIDENTE CORDOVA; A UNA CUADRA DEL PARQUE CENTRAL ;0989476241;072842719;nachocinemacafe@hotmail.com;Si ;null;01;0100;0007;005
141;MERCEDITAS;VIA A NULTI A 300M ESCUELA BALAREZO;null;null;null;null;No;null;01;0103;0030;039
142;DOÑA CHARITO;REMIGIO CRESPO 7-79;null;2884026;null;null;Si ;null;01;0100;0028;035
143;CENTRO SAMAI;PRINCIPAL S/N SUBIENDO AL CERRO ;FRENTE A LA COMUNIDAD DE SAN JOSE;072814832;0994621416;samaispa@yahoo.com;No;null;24;0101;0037;013
144;HOSTAL PELEUSI;SERRANO 3-22 MATOVELLE; DIAGONAL A LA IGLESIA LA CATEDRAL AZOGUES    -  ;0983741298;072245445;hostalpeleusi@gmail.com;No;null;03;0101;0017;011
145;PARRILLADAS LA FRAGUA;LUIS MORENO MORA 4-42 Y CORNELIO MERCHAN;null;72817563;null;VISION-GROUP@HOTMAIL.COM;Si;null;01;0100;0028;044
146;BOCADELLA;AV. FRANCISCO MOSCOSO Y 27 DE FEBRERO;null;998394520;null;CAGUIRRE037@HOTMAIL.COM;Si ;null;01;0100;0015;044
147;FRUTILADOS;AV REMIGIO CRESPO 4-53 Y RICARDO MUÑOZ;null;null;null;null;Si ;null;01;0100;0007;039
148;FRUTILADOS;ELIA LIUT Y CALLE VIEJA;null;null;null;null;Si;null;01;0100;0015;035
149;QUINUA LA ;BENIGNO MALO 12-75 Y VEGA MUÑOZ;null;72832370;null;CESARCOMELECHUGA@HOTMAIL.COM;Si ;null;01;0100;0028;044
150;HOTEL LOS BALCONES;Borrero  12-08 Sangurima; Tres cuadas antes de llegar a la iglesia san alfonso sobre la calle borrero. ;0997016247;072842103;leom57@hotmail.com;No;www.hotellosbalconescuenca.com;01;0101;0018;014
151;MAYU;BENGNO MALO SN SIMON BOLIVAR; FRENTE AL PARQUE CALDERON EN LA CALLE BENGNO MALO ANTES DE LLEGAR AL TUTTO FREDO DE LA SIMON BOLIVAR ENTRAR AL SEMINARIO SAN LUS Y SUBR AL SEGUNDO PISO ;0980452926;0999278342;pablo.macas0709@ucuenca.edu.ec;Si ;null;01;0100;0028;006
152;PIZZERIA LITTLE ITALY;REMIGIO TAMARIZ S/N Y ALFONSO BORRERO;A DOS CUADRAS DE LA UNIVERSIDAD DE CUENCA;null;null;mar.moscoso@hotmail.com;Si;null;01;0100;0007;044
153;EL MESON ESPAÑOL TAPAS RESTAURANT;antonio borrero 7-51 sucre; frente al banco del austro ;0969062808;0969062808;carloscaceres1959@gmail.com;Si ;null;01;0100;0028;001
154;MARVENTO II;Digno Nuñez 1 Av. General Enriquez;null;042770287;0994643606;hotelmarventosalinas@gmail.com;No;www.hotelmarvento.com;24;0101;0018;013
155;ALO PICA;CARLOS JULIO AROSEMENA Y AV. ORIENTAL;null;72742553;null;astudillocedilloff@gmail.com;Si ;null;14;0100;0028;044
156;EL MARQUES DEL COCA;NAPO 76-02 JUAN MONTALVO; Estamos ubicados en el centro de la ciudad del coca, entre la calle Napo 76-02 y Juan Montalvo diagonal al cuerpo de Bomberos y a lado del TIA central. ;0990546177;0990602906;elmarquezdelcocahotel@hotmail.com;No;www.elmarquezhotelcoca.com;22;0101;0018;013
157;PORTAL DE FATIMA;VIA A RAKAR SECTOR FATIMA;null;4060241;null;null;No;null;01;0103;0029;035
158;PALMERAS LAS ;CARLOS ARIZAGA VEGA (SECTOR SAN JOAQUIN);null;72894175;null;r.palmeras@hotmail.com;Si;null;01;0100;0028;044
159;MORAS CAFE;HONORATO,LOYOLA 1-152 Y AGUSTIN CUEVA;null;74102068;null;PISHOMORA@LIVE.COM;Si ;null;01;0100;0007;039
